Episode,Timestamp,Reward,PolicyLoss,ValueLoss,Loss,Entropy,LR
629,16:03:47,71.42,0.000000,19.307768,19.258488,0.9856,9.81e-05
630,16:03:53,94.03,-0.000000,17.589966,17.540854,0.9823,9.81e-05
631,16:04:02,130.79,0.000000,29.050945,29.001242,0.9941,9.81e-05
632,16:04:08,94.01,-0.000000,16.114752,16.065050,0.9940,9.81e-05
633,16:04:14,84.47,-0.000000,14.115223,14.065944,0.9856,9.81e-05
634,16:04:20,105.57,0.000000,15.154869,15.105335,0.9907,9.81e-05
635,16:04:27,92.52,-0.000000,17.379513,17.329727,0.9957,9.81e-05
636,16:04:32,107.53,-0.000000,16.906353,16.857500,0.9771,9.81e-05
637,16:04:38,85.02,0.000000,16.994608,16.944908,0.9940,9.81e-05
638,16:04:44,114.11,0.000000,23.469919,23.420807,0.9822,9.81e-05
639,16:04:50,103.04,-0.000000,23.040102,22.990908,0.9839,9.81e-05
640,16:04:56,113.0,0.000000,20.092278,20.042324,0.9991,9.81e-05
641,16:05:07,96.44,-0.000000,19.591358,19.541824,0.9907,9.81e-05
642,16:05:13,115.07,0.000000,22.645702,22.596678,0.9805,9.81e-05
643,16:05:19,109.06,-0.000000,22.948072,22.898540,0.9906,9.81e-05
644,16:05:25,80.25,-0.000000,18.802414,18.752712,0.9940,9.81e-05
645,16:05:31,104.51,0.000000,24.947527,24.897404,1.0025,9.81e-05
646,16:05:37,104.55,0.000000,22.097382,22.047342,1.0008,9.81e-05
647,16:05:43,136.07,0.000000,29.305796,29.256262,0.9907,9.81e-05
648,16:05:49,116.47,0.000000,20.353920,20.304981,0.9788,9.81e-05
649,16:05:55,114.57,-0.000000,20.328022,20.277729,1.0058,9.81e-05
650,16:06:01,105.99,0.000000,20.851067,20.801367,0.9940,9.80e-05
651,16:06:10,115.55,0.000000,23.510353,23.461243,0.9822,9.80e-05
652,16:06:16,103.59,0.000000,18.149801,18.100697,0.9821,9.80e-05
653,16:06:21,81.42,0.000000,11.707476,11.657772,0.9941,9.80e-05
654,16:06:27,113.6,0.000000,20.922867,20.873924,0.9789,9.80e-05
655,16:06:33,97.5,-0.000000,16.129284,16.079416,0.9973,9.80e-05
656,16:06:39,69.37,0.000000,14.239133,14.189853,0.9856,9.80e-05
657,16:06:45,83.49,0.000000,14.977283,14.927752,0.9906,9.80e-05
658,16:06:51,116.17,0.000000,18.791388,18.741432,0.9991,9.80e-05
659,16:06:57,81.39,0.000000,11.290660,11.240623,1.0007,9.80e-05
660,16:07:02,95.54,-0.000000,22.926380,22.876511,0.9974,9.80e-05
661,16:07:11,71.37,0.000000,11.534305,11.485618,0.9737,9.80e-05
662,16:07:17,103.47,0.000000,18.444523,18.394907,0.9923,9.80e-05
663,16:07:23,117.56,0.000000,20.307961,20.257751,1.0042,9.80e-05
664,16:07:29,102.46,-0.000000,21.329426,21.279722,0.9941,9.80e-05
665,16:07:35,116.11,0.000000,24.815720,24.766611,0.9822,9.80e-05
666,16:07:42,104.04,0.000000,19.394224,19.343849,1.0075,9.80e-05
667,16:07:49,127.52,0.000000,28.790560,28.740269,1.0058,9.80e-05
668,16:07:55,81.41,-0.000000,16.619898,16.569691,1.0041,9.80e-05
669,16:08:01,126.51,0.000000,25.947590,25.898058,0.9906,9.80e-05
670,16:08:06,92.98,-0.000000,19.307756,19.258057,0.9940,9.80e-05
671,16:08:53,114.97,0.000000,24.625536,24.576256,0.9856,9.80e-05
672,16:09:00,101.36,0.000000,20.407429,20.358404,0.9805,9.80e-05
673,16:09:07,114.64,0.000000,18.210304,18.160439,0.9973,9.80e-05
674,16:09:13,91.42,0.000000,16.699093,16.649305,0.9958,9.80e-05
675,16:09:19,103.97,0.000000,14.987844,14.938900,0.9789,9.80e-05
676,16:09:24,95.4,-0.000000,17.743202,17.693588,0.9923,9.80e-05
677,16:09:30,97.01,0.000000,14.493422,14.443974,0.9890,9.80e-05
678,16:09:47,94.89,0.000000,16.495071,16.444948,1.0025,9.80e-05
679,16:09:54,92.93,0.000000,13.490754,13.440207,1.0109,9.80e-05
680,16:10:00,71.86,0.000000,13.817277,13.767574,0.9940,9.80e-05
681,16:10:16,97.09,-0.000000,17.306707,17.256838,0.9974,9.80e-05
682,16:10:23,92.43,0.000000,17.987236,17.937876,0.9872,9.80e-05
683,16:10:29,104.12,0.000000,18.462790,18.413342,0.9890,9.80e-05
684,16:10:34,103.41,0.000000,18.558537,18.509342,0.9839,9.79e-05
685,16:10:40,97.52,-0.000000,14.662086,14.612136,0.9990,9.79e-05
686,16:10:46,105.35,0.000000,22.228912,22.178370,1.0108,9.79e-05
687,16:10:52,98.6,-0.000000,18.470961,18.420668,1.0059,9.79e-05
688,16:10:57,91.39,0.000000,11.637664,11.587878,0.9957,9.79e-05
689,16:11:03,82.47,0.000000,15.810085,15.760382,0.9941,9.79e-05
690,16:11:09,71.93,-0.000000,10.241523,10.192583,0.9788,9.79e-05
691,16:11:18,73.4,0.000000,16.396976,16.347446,0.9906,9.79e-05
692,16:11:23,116.58,0.000000,20.865513,20.816322,0.9838,9.79e-05
693,16:11:29,95.46,0.000000,17.264828,17.214790,1.0008,9.79e-05
694,16:11:34,94.93,0.000000,10.811412,10.761880,0.9906,9.79e-05
695,16:11:40,97.95,-0.000000,14.855636,14.806356,0.9856,9.79e-05
696,16:11:46,104.53,0.000000,19.871498,19.821209,1.0058,9.79e-05
697,16:11:52,82.94,0.000000,20.340622,20.290836,0.9957,9.79e-05
698,16:11:58,103.99,0.000000,20.450537,20.401005,0.9906,9.79e-05
699,16:12:04,81.45,0.000000,12.192646,12.143459,0.9837,9.79e-05
700,16:12:10,93.86,0.000000,17.778212,17.729187,0.9805,9.79e-05
701,16:12:19,92.88,0.000000,14.108798,14.058845,0.9991,9.79e-05
