Episode,Reward,Loss,Entropy,LR
474,13.41,0.1365,8.3176,0.0003
475,15.0,0.0053,8.3175,0.0003
476,15.35,0.197,8.3175,0.0003
477,6.58,0.5143,8.3175,0.0003
478,18.12,1.1396,8.3175,0.0003
479,4.56,0.004,8.3175,0.0003
480,12.81,-0.3139,8.3175,0.0003
481,6.65,-0.2389,8.3175,0.0003
482,12.88,1.2298,8.3176,0.0003
483,7.34,-0.4454,8.3175,0.0003
484,15.67,-0.5165,8.3176,0.0003
485,4.57,-0.397,8.3176,0.0003
486,21.33,0.0283,8.3176,0.0003
487,35.8,0.6554,8.3175,0.0003
488,20.04,-0.2094,8.3176,0.0003
489,11.87,0.0696,8.3176,0.0003
490,13.73,0.0514,8.3175,0.0003
491,20.14,0.3346,8.3175,0.0003
492,12.14,0.0717,8.3176,0.0003
493,3.86,-0.6083,8.3176,0.0003
494,3.98,-0.2352,8.3176,0.0003
495,17.73,0.6677,8.3176,0.0003
496,13.97,0.1251,8.3176,0.0003
497,32.39,1.8259,8.3175,0.0003
498,5.59,-0.0174,8.3176,0.0003
499,19.15,-0.1164,8.3176,0.0003
500,24.57,-0.3891,8.3176,0.0003
501,5.61,-0.2917,8.3176,0.0003
502,18.95,0.2508,8.3176,0.0003
503,12.14,-0.0417,8.3176,0.0003
504,38.1,0.6502,8.3176,0.0003
505,31.57,0.1357,8.3176,0.0003
506,25.5,0.5369,8.3175,0.0003
507,7.63,-0.239,8.3175,0.0003
508,13.76,0.3687,8.3175,0.0003
509,12.98,0.0556,8.3175,0.0003
510,14.77,-0.1606,8.3175,0.0003
511,13.01,0.1861,8.3175,0.0003
512,22.37,0.4435,8.3175,0.0003
513,21.09,-0.1711,8.3175,0.0003
514,29.59,0.3141,8.3175,0.0003
515,35.51,0.4754,8.3175,0.0003
516,10.29,0.3094,8.3175,0.0003
517,9.73,0.0352,8.3175,0.0003
518,8.56,0.2429,8.3175,0.0003
519,21.95,0.4598,8.3175,0.0003
520,11.3,0.2186,8.3175,0.0003
521,17.09,-0.2916,8.3175,0.0003
522,20.55,1.3678,8.3175,0.0003
523,12.48,-0.3965,8.3175,0.0003
524,10.81,0.5178,8.3175,0.0003
525,8.31,-0.2912,8.3175,0.0003
526,14.2,0.5752,8.3175,0.0003
527,11.64,0.2349,8.3175,0.0003
528,19.81,-0.1201,8.3175,0.0003
529,5.46,0.0714,8.3175,0.0003
530,13.53,-0.0749,8.3176,0.0003
531,14.87,0.0319,8.3176,0.0003
532,14.51,0.026,8.3176,0.0003
533,16.36,-0.0721,8.3175,0.0003
534,3.8,0.2128,8.3176,0.0003
535,13.98,0.3567,8.3176,0.0003
536,12.04,0.7012,8.3176,0.0003
537,29.83,-0.1277,8.3176,0.0003
538,5.09,0.0583,8.3176,0.0003
539,7.58,0.0185,8.3176,0.0003
540,24.05,0.2103,8.3176,0.0003
541,30.48,0.5936,8.3175,0.0003
542,12.91,0.6004,8.3175,0.0003
543,29.61,0.1456,8.3175,0.0003
544,14.78,-0.0038,8.3176,0.0003
545,15.34,-0.4632,8.3176,0.0003
546,13.16,0.0537,8.3176,0.0003
547,18.63,0.6864,8.3176,0.0003
548,16.12,0.1422,8.3176,0.0003
549,10.39,-0.123,8.3176,0.0003
550,43.28,0.4417,8.3176,0.0003
551,42.03,0.1061,8.3176,0.0003
552,31.47,0.5082,8.3177,0.0003
553,24.41,0.1635,8.3176,0.0003
554,11.82,0.1257,8.3176,0.0003
555,12.68,0.3457,8.3177,0.0003
556,31.84,0.329,8.3177,0.0003
557,11.95,-0.1262,8.3177,0.0003
558,4.86,-0.2018,8.3177,0.0003
559,17.61,-0.1248,8.3177,0.0003
560,18.31,-0.3568,8.3176,0.0003
561,12.29,-0.5224,8.3176,0.0003
562,18.77,-0.317,8.3176,0.0003
563,8.68,-0.4509,8.3176,0.0003
564,9.97,0.1639,8.3176,0.0003
565,12.59,0.6606,8.3176,0.0003
566,14.61,0.217,8.3176,0.0003
567,10.55,-0.4668,8.3176,0.0003
568,18.06,-0.3149,8.3175,0.0003
569,7.73,0.0182,8.3175,0.0003
570,7.99,-0.089,8.3175,0.0003
571,22.54,0.5025,8.3175,0.0003
572,4.11,-0.738,8.3175,0.0003
573,19.82,0.1872,8.3175,0.0003
574,24.77,0.2963,8.3175,0.0003
575,33.71,0.434,8.3175,0.0003
576,22.52,-0.1543,8.3176,0.0003
577,8.66,-0.1966,8.3176,0.0003
578,6.46,0.1686,8.3176,0.0003
579,19.03,-0.2332,8.3176,0.0003
580,31.15,0.4217,8.3176,0.0003
581,7.38,-0.032,8.3176,0.0003
582,14.13,0.0232,8.3176,0.0003
583,17.84,0.285,8.3176,0.0003
584,3.66,-0.0636,8.3176,0.0003
585,14.28,0.0988,8.3176,0.0003
586,19.74,-0.035,8.3176,0.0003
587,19.44,-0.1867,8.3176,0.0003
588,16.15,0.0883,8.3176,0.0003
589,16.95,0.0154,8.3176,0.0003
590,16.26,-0.1189,8.3176,0.0003
591,24.44,0.0753,8.3176,0.0003
592,15.14,0.4233,8.3175,0.0003
593,12.46,0.5971,8.3175,0.0003
594,9.73,0.1513,8.3175,0.0003
595,11.11,-0.104,8.3175,0.0003
596,4.71,0.0056,8.3174,0.0003
597,36.47,0.4159,8.3175,0.0003
598,24.13,0.2333,8.3175,0.0003
599,12.92,0.3241,8.3176,0.0003
600,19.25,-0.2144,8.3175,0.0003
601,15.14,1.3691,8.3175,0.0003
602,18.35,0.7777,8.3175,0.0003
603,31.55,0.8791,8.3175,0.0003
604,35.33,0.3426,8.3175,0.0003
605,17.6,0.3245,8.3175,0.0003
606,20.17,0.7886,8.3175,0.0003
607,4.79,-0.508,8.3175,0.0003
608,16.84,0.2528,8.3175,0.0003
609,15.39,0.2383,8.3175,0.0003
610,33.29,0.2509,8.3175,0.0003
611,18.8,-0.6478,8.3176,0.0003
612,35.76,1.6066,8.3176,0.0003
613,7.59,-0.077,8.3176,0.0003
614,14.07,0.2982,8.3176,0.0003
615,14.03,-0.4881,8.3176,0.0003
616,21.56,0.9372,8.3175,0.0003
617,17.28,-0.3268,8.3175,0.0003
618,11.62,-0.1014,8.3175,0.0003
619,6.39,0.126,8.3175,0.0003
620,19.12,1.1631,8.3176,0.0003
621,14.64,-0.1735,8.3175,0.0003
622,26.11,0.5407,8.3175,0.0003
623,9.73,0.19,8.3175,0.0003
624,9.89,-0.3295,8.3175,0.0003
625,17.51,0.0491,8.3175,0.0003
626,15.48,0.2885,8.3175,0.0003
627,20.17,0.3715,8.3175,0.0003
628,23.42,-0.0523,8.3175,0.0003
629,20.19,-0.0256,8.3176,0.0003
630,6.34,-0.1578,8.3176,0.0003
631,9.45,0.5317,8.3176,0.0003
632,16.28,0.5432,8.3176,0.0003
633,4.47,0.4686,8.3176,0.0003
634,10.28,-0.4074,8.3176,0.0003
635,8.79,-0.2186,8.3176,0.0003
636,26.31,0.0485,8.3175,0.0003
637,20.39,0.295,8.3175,0.0003
638,6.59,0.4762,8.3175,0.0003
639,27.52,2.2048,8.3174,0.0003
640,19.65,0.5516,8.3175,0.0003
641,7.56,-0.1282,8.3175,0.0003
642,29.68,0.3449,8.3175,0.0003
643,27.16,0.7514,8.3175,0.0003
644,12.24,0.2627,8.3175,0.0003
645,24.35,-0.3235,8.3174,0.0003
646,10.74,0.2871,8.3174,0.0003
647,12.57,0.2925,8.3174,0.0003
648,7.89,0.4894,8.3174,0.0003
649,18.11,0.1253,8.3174,0.0003
650,10.11,-0.0783,8.3174,0.0003
651,16.7,0.3924,8.3174,0.0003
652,7.47,-0.3365,8.3174,0.0003
