Time,Minerals,Vespene,Workers,Ideal,Action
7920.0,4290,0,17,16,REASSIGN_IDLE
7936.0,4305,0,17,16,REASSIGN_IDLE
7952.0,4315,0,17,16,REASSIGN_IDLE
7968.0,4325,0,17,16,REASSIGN_IDLE
7984.0,4330,0,17,16,REASSIGN_IDLE
8000.0,4355,0,17,16,REASSIGN_IDLE
8016.0,4360,0,17,16,REASSIGN_IDLE
8032.0,4360,0,17,16,REASSIGN_IDLE
8048.0,4385,0,17,16,REASSIGN_IDLE
8064.0,4385,0,17,16,REASSIGN_IDLE
8080.0,4390,0,17,16,REASSIGN_IDLE
8096.0,4405,0,17,16,REASSIGN_IDLE
8112.0,4425,0,17,16,REASSIGN_IDLE
8128.0,4430,0,17,16,REASSIGN_IDLE
8144.0,4435,0,17,16,REASSIGN_IDLE
8160.0,4450,0,17,16,REASSIGN_IDLE
8176.0,4460,0,17,16,REASSIGN_IDLE
8192.0,4465,0,17,16,REASSIGN_IDLE
8208.0,4485,0,17,16,REASSIGN_IDLE
8224.0,4490,0,17,16,REASSIGN_IDLE
8240.0,4505,0,17,16,REASSIGN_IDLE
8256.0,4510,0,17,16,REASSIGN_IDLE
8272.0,4525,0,17,16,REASSIGN_IDLE
8288.0,4535,0,17,16,REASSIGN_IDLE
8304.0,4540,0,17,16,REASSIGN_IDLE
8320.0,4550,0,17,16,REASSIGN_IDLE
8336.0,4565,0,17,16,REASSIGN_IDLE
8352.0,4570,0,17,16,REASSIGN_IDLE
8368.0,4585,0,17,16,REASSIGN_IDLE
8384.0,4600,0,17,16,REASSIGN_IDLE
8400.0,4600,0,17,16,REASSIGN_IDLE
8416.0,4615,0,17,16,REASSIGN_IDLE
8432.0,4625,0,17,16,REASSIGN_IDLE
8448.0,4630,0,17,16,REASSIGN_IDLE
8464.0,4640,0,17,16,REASSIGN_IDLE
8480.0,4660,0,17,16,REASSIGN_IDLE
8496.0,4675,0,17,16,REASSIGN_IDLE
8512.0,4675,0,17,16,REASSIGN_IDLE
8528.0,4685,0,17,16,REASSIGN_IDLE
8544.0,4700,0,17,16,REASSIGN_IDLE
8560.0,4700,0,17,16,REASSIGN_IDLE
8576.0,4710,0,17,16,REASSIGN_IDLE
8592.0,4735,0,17,16,REASSIGN_IDLE
8608.0,4740,0,17,16,REASSIGN_IDLE
8624.0,4750,0,17,16,REASSIGN_IDLE
8640.0,4755,0,17,16,REASSIGN_IDLE
8656.0,4770,0,17,16,REASSIGN_IDLE
8672.0,4775,0,17,16,REASSIGN_IDLE
8688.0,4775,0,17,16,REASSIGN_IDLE
8704.0,4800,0,17,16,REASSIGN_IDLE
8720.0,4810,0,17,16,REASSIGN_IDLE
8736.0,4815,0,17,16,REASSIGN_IDLE
8752.0,4830,0,17,16,REASSIGN_IDLE
8768.0,4845,0,17,16,REASSIGN_IDLE
8784.0,4845,0,17,16,REASSIGN_IDLE
8800.0,4850,0,17,16,REASSIGN_IDLE
8816.0,4875,0,17,16,REASSIGN_IDLE
8832.0,4885,0,17,16,REASSIGN_IDLE
8848.0,4885,0,17,16,REASSIGN_IDLE
8864.0,4915,0,17,16,REASSIGN_IDLE
8880.0,4920,0,17,16,REASSIGN_IDLE
8896.0,4920,0,17,16,REASSIGN_IDLE
8912.0,4930,0,17,16,REASSIGN_IDLE
8928.0,4940,0,17,16,REASSIGN_IDLE
8944.0,4950,0,17,16,REASSIGN_IDLE
8960.0,4965,0,17,16,REASSIGN_IDLE
8976.0,4975,0,17,16,REASSIGN_IDLE
8992.0,4990,0,17,16,REASSIGN_IDLE
9008.0,4995,0,17,16,REASSIGN_IDLE
9024.0,5010,0,17,16,REASSIGN_IDLE
9040.0,5015,0,17,16,REASSIGN_IDLE
9056.0,5020,0,17,16,REASSIGN_IDLE
