Time,Minerals,Vespene,Supply,Marauders,Action_ID
7146.0,45,760,14,0,7
7148.0,45,760,14,0,5
7150.0,45,764,14,0,0
7152.0,45,764,14,0,0
7154.0,45,764,14,0,7
7156.0,45,768,14,0,2
7158.0,45,768,14,0,6
7160.0,45,768,14,0,7
7162.0,45,768,14,0,3
7164.0,45,768,14,0,5
7166.0,45,768,14,0,7
7168.0,45,768,14,0,3
7170.0,45,768,14,0,3
7172.0,45,768,14,0,6
7174.0,45,768,14,0,6
7176.0,45,768,14,0,5
7178.0,45,768,14,0,4
7180.0,45,768,14,0,3
7182.0,45,768,14,0,5
7184.0,45,768,14,0,7
7186.0,45,768,14,0,3
7188.0,45,768,14,0,1
7190.0,45,768,14,0,6
7192.0,45,768,14,0,5
7194.0,45,768,14,0,5
7196.0,45,768,14,0,6
7198.0,45,768,14,0,7
7200.0,45,768,14,0,1
7202.0,45,768,14,0,5
7204.0,45,768,14,0,6
7206.0,45,768,14,0,1
7208.0,45,768,14,0,5
7210.0,45,768,14,0,1
7212.0,45,768,14,0,3
7214.0,45,768,14,0,4
7216.0,45,772,14,0,7
7218.0,45,772,14,0,4
7220.0,45,772,14,0,2
7222.0,45,772,14,0,0
7224.0,45,772,14,0,5
7226.0,45,772,14,0,7
7228.0,45,772,14,0,4
7230.0,45,772,14,0,7
7232.0,45,772,14,0,2
7234.0,45,772,14,0,3
7236.0,45,772,14,0,0
7238.0,45,772,14,0,7
7240.0,45,772,14,0,6
7242.0,45,772,14,0,4
7244.0,45,772,14,0,4
7246.0,45,772,14,0,0
7248.0,45,776,14,0,2
7250.0,45,776,14,0,6
7252.0,45,776,14,0,0
7254.0,45,776,14,0,2
7256.0,45,780,14,0,5
7258.0,45,780,14,0,7
7260.0,45,780,14,0,2
7262.0,45,780,14,0,3
7264.0,45,780,14,0,3
7266.0,45,780,14,0,1
7268.0,45,780,14,0,1
7270.0,45,780,14,0,0
7272.0,45,780,14,0,2
7274.0,45,780,14,0,4
7276.0,45,780,14,0,2
7278.0,45,780,14,0,3
7280.0,45,780,14,0,6
7282.0,45,784,14,0,3
7284.0,45,784,14,0,0
7286.0,45,784,14,0,4
7288.0,45,784,14,0,5
