Game_Loop,Minerals,Vespene,Workers,Ideal,Barracks,Action_ID,P_ID
7056.0,2550,575,23,0,3,45,15
7072.0,2570,575,23,0,3,34,15
7088.0,2570,579,23,0,3,45,15
7104.0,2590,579,23,0,3,34,65
7120.0,2605,583,23,0,3,18,18
7136.0,2610,583,23,0,3,34,98
7152.0,2625,587,23,0,3,34,73
7168.0,2645,587,23,0,3,34,15
7184.0,2645,591,23,0,3,45,15
7200.0,2665,591,23,0,3,34,15
7216.0,2685,595,23,0,3,34,22
7232.0,2685,595,23,0,3,45,15
7248.0,2695,599,23,0,3,18,76
7264.0,2715,599,23,0,3,34,99
7280.0,2720,603,23,0,3,34,15
7296.0,2735,603,23,0,3,34,15
7312.0,2750,607,23,0,3,18,27
7328.0,2765,607,23,0,3,18,71
7344.0,2785,611,23,0,3,34,15
7360.0,2790,611,23,0,3,45,15
7376.0,2800,615,23,0,3,18,16
7392.0,2820,615,23,0,3,34,15
7408.0,2830,619,23,0,3,45,15
7424.0,2840,619,23,0,3,34,5
7440.0,2860,623,23,0,3,45,45
7456.0,2865,623,23,0,3,34,51
7472.0,2880,627,23,0,3,45,15
7488.0,2790,602,23,0,3,18,27
7504.0,2800,606,23,0,3,45,15
7520.0,2815,606,23,0,3,18,25
7536.0,2830,610,23,0,3,34,15
7552.0,2835,610,23,0,3,45,15
7568.0,2850,610,23,0,3,34,15
7584.0,2870,614,23,0,3,34,7
7600.0,2875,614,23,0,3,18,56
7616.0,2885,618,23,0,3,45,15
7632.0,2805,593,23,0,3,18,76
7648.0,2810,597,23,0,3,34,38
7664.0,2830,597,23,0,3,18,15
7680.0,2840,601,23,0,3,45,3
7696.0,2855,601,23,0,3,34,15
7712.0,2875,605,23,0,3,45,15
7728.0,2880,605,23,0,3,34,15
7744.0,2890,609,23,0,3,18,36
7760.0,2910,609,23,0,3,34,43
7776.0,2915,613,23,0,3,34,15
7792.0,2930,613,23,0,3,18,19
7808.0,2945,617,23,0,3,34,46
7824.0,2955,617,23,0,3,45,15
7840.0,2970,621,23,0,3,18,34
7856.0,2980,621,23,0,3,45,46
7872.0,2990,625,23,0,3,34,72
7888.0,3005,625,23,0,3,45,77
7904.0,3020,629,23,0,3,18,15
7920.0,3020,629,23,0,3,34,15
7936.0,3045,633,23,0,3,34,39
7952.0,3060,633,23,0,3,45,64
7968.0,3060,637,23,0,3,34,15
7984.0,3075,637,23,0,3,45,15
8000.0,3095,641,23,0,3,18,3
